candidate_id,final_score,employer,returnee_signal,diversity_flag
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'blackrock'}","{'score': 2, 'signals_found': ['geo:beijing']}","{'is_female': False, 'confidence': 'low'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'morgan stanley'}","{'score': 2, 'signals_found': ['geo:shanghai']}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'citi'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'standard chartered'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'blackrock'}","{'score': 2, 'signals_found': ['geo:hong kong']}","{'is_female': True, 'confidence': 'medium'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'blackstone'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'wellington'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'Fidelity investments'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'Schroders'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'jpmorgan'}","{'score': 2, 'signals_found': ['geo:hong kong']}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'nomura'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'kkr'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'nomura'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'standard chartered'}","{'score': 2, 'signals_found': ['geo:tokyo']}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'blackrock'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'Schroders'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'mizuho'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'wellington'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'Bank of America'}","{'score': 2, 'signals_found': ['geo:bengaluru']}","{'is_female': True, 'confidence': 'medium'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'rbc'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': True, 'confidence': 'medium'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'morgan stanley'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'morgan stanley'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': True, 'confidence': 'medium'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'brookfield'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'wellington'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'jpmorgan'}","{'score': 2, 'signals_found': ['geo:bengaluru']}","{'is_female': False, 'confidence': 'low'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'bridgewater'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'ubs'}","{'score': 2, 'signals_found': ['geo:seoul']}","{'is_female': True, 'confidence': 'medium'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'kkr'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'blackstone'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'goldman sachs'}","{'score': 2, 'signals_found': ['geo:bengaluru']}","{'is_female': True, 'confidence': 'medium'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'wellington'}","{'score': 2, 'signals_found': ['geo:shanghai']}","{'is_female': True, 'confidence': 'medium'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'goldman sachs'}","{'score': 2, 'signals_found': ['geo:seoul']}","{'is_female': False, 'confidence': 'low'}"
,56,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'carlyle'}","{'score': 2, 'signals_found': ['geo:bengaluru']}","{'is_female': False, 'confidence': 'low'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'BCG'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'rbc'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': False, 'confidence': 'low'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'Bain'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,62,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'apollo'}","{'score': 4, 'signals_found': ['geo:singapore', 'geo:seoul']}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'hsbc'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,56,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'renaissance technologies'}","{'score': 2, 'signals_found': ['geo:shanghai']}","{'is_female': True, 'confidence': 'medium'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'standard chartered'}","{'score': 2, 'signals_found': ['geo:seoul']}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,56,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'BCG'}","{'score': 2, 'signals_found': ['geo:seoul']}","{'is_female': True, 'confidence': 'medium'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'nomura'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': True, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'rbc'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,50,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'Bain'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,66,"{'tier': 'tier_1_ib', 'confidence': 1.0, 'matched_name': 'ubs'}","{'score': 2, 'signals_found': ['geo:hong kong']}","{'is_female': True, 'confidence': 'medium'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'nomura'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': False, 'confidence': 'low'}"
,56,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'apollo'}","{'score': 2, 'signals_found': ['geo:hong kong']}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'T. Rowe Price'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'Schroders'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'Fidelity investments'}","{'score': 2, 'signals_found': ['geo:hong kong']}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'rbc'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'wellington'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'medium'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'rbc'}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,25,"{'tier': 'other', 'confidence': 0.0, 'matched_name': None}","{'score': 0, 'signals_found': []}","{'is_female': False, 'confidence': 'low'}"
,40,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'mizuho'}","{'score': 0, 'signals_found': []}","{'is_female': True, 'confidence': 'medium'}"
,46,"{'tier': 'tier_2_ib', 'confidence': 1.0, 'matched_name': 'T. Rowe Price'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': False, 'confidence': 'low'}"
,56,"{'tier': 'pe_hedge_top', 'confidence': 1.0, 'matched_name': 'BCG'}","{'score': 2, 'signals_found': ['geo:singapore']}","{'is_female': False, 'confidence': 'low'}"
